ChampionId,name,title,lore,ChampionRole1,ChampionRole2,attack,defense,magic,difficulty,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,PassiveName,PassiveDescription
164,Camille,the Steel Shadow,"Weaponized to operate outside the boundaries of the law, Camille is the Principal Intelligencer of Clan Ferros—an elegant and elite agent who ensures the Piltover machine and its Zaunite underbelly runs smoothly. Adaptable and precise, she views sloppy technique as an embarrassment that must be put to order. With a mind as sharp as the blades she bears, Camille's pursuit of superiority through hextech body augmentation has left many to wonder if she is now more machine than woman.",Fighter,Tank,8,6,3,4,575.6,85,338.8,32,340,35,3.8,32.1,1.25,125,8.5,0.8,8.15,0.75,68,3.5,2.5,0.644,Adaptive Defenses,Basic attacks on champions grant a shield equal to 20% of Camille's maximum health against their damage type (Physical or Magic) for a brief duration.
69,Cassiopeia,the Serpent's Embrace,"Cassiopeia is a deadly creature bent on manipulating others to her sinister will. Youngest and most beautiful daughter of the noble Du Couteau family of Noxus, she ventured deep into the crypts beneath Shurima in search of ancient power. There, she was bitten by a gruesome tomb guardian, whose venom transformed her into a viper-like predator. Cunning and agile, Cassiopeia now slithers under the veil of night, petrifying her enemies with her baleful gaze.",Mage,,2,3,9,10,560,90,350,40,328,18,3.5,32,0.5,550,5.5,0.5,8,0.8,53,3,1.5,0.647,Serpentine Grace,"Cassiopeia gains Movement Speed per level, but she cannot purchase Boots items."
31,Cho'Gath,the Terror of the Void,"From the moment Cho'Gath first emerged into the harsh light of Runeterra's sun, the beast was driven by the most pure and insatiable hunger. A perfect expression of the Void's desire to consume all life, Cho'Gath's complex biology quickly converts matter into new bodily growth—increasing its muscle mass and density, or hardening its outer carapace like organic diamond. When growing larger does not suit the Void-spawn's needs, it vomits out the excess material as razor-sharp spines, leaving prey skewered and ready to feast upon later.",Tank,Mage,3,7,7,5,574.4,80,272.2,40,345,38,3.5,32.1,1.25,125,9,0.85,7.206,0.45,69,4.2,1.44,0.625,Carnivore,"Whenever Cho'Gath kills a unit, he recovers Health and Mana. The values restored increase with Cho'Gath's level."
42,Corki,the Daring Bombardier,"The yordle pilot Corki loves two things above all others: flying, and his glamorous mustache... though not necessarily in that order. After leaving Bandle City, he settled in Piltover and fell in love with the wondrous machines he found there. He dedicated himself to the development of flying contraptions, leading an aerial defense force of seasoned veterans known as the Screaming Yipsnakes. Calm under fire, Corki patrols the skies around his adopted home, and has never encountered a problem that a good missile barrage couldn't solve.",Marksman,,8,3,6,6,518,87,350.16,34,325,28,3.5,30,0.5,550,5.5,0.55,7.424,0.55,55,2.5,2.3,0.638,Hextech Munitions,"Corki's basic attack deals a percentage of their damage as magic instead of physical. Every once in a while, The Package arrives in Corki's base to be picked up, temporarily granting him out of combat Movement Speed and upgrading Valkyrie into Special Delivery."
122,Darius,the Hand of Noxus,"There is no greater symbol of Noxian might than Darius, the nation's most feared and battle-hardened commander. Rising from humble origins to become the Hand of Noxus, he cleaves through the empire's enemies—many of them Noxians themselves. Knowing that he never doubts his cause is just, and never hesitates once his axe is raised, those who stand against the leader of the Trifarian Legion can expect no mercy.",Fighter,Tank,9,5,1,2,582.24,100,263,37.5,340,39,4,32.1,1.25,175,10,0.95,6.6,0.35,64,5,1,0.625,Hemorrhage,"Darius's attacks and damaging abilities cause enemies to bleed for physical damage over 5 seconds, stacking up to 5 times."
131,Diana,Scorn of the Moon,"Bearing her crescent moonblade, Diana fights as a warrior of the Lunari—a faith all but quashed in the lands around Mount Targon. Clad in shimmering armor the color of winter snow at night, she is a living embodiment of the silver moon's power. Imbued with the essence of an Aspect from beyond Targon's towering summit, Diana is no longer wholly human, and struggles to understand her power and purpose in this world.",Fighter,Mage,7,6,8,4,570,95,375,25,345,31,3.6,32.1,1.25,150,7.5,0.85,8,0.8,57,3,2.25,0.625,Moonsilver Blade,"Every third strike cleaves nearby enemies for an additional magic damage. After casting a spell, Diana gains attack speed for her next 3 attacks."
119,Draven,the Glorious Executioner,"In Noxus, warriors known as Reckoners face one another in arenas where blood is spilled and strength tested—but none has ever been as celebrated as Draven. A former soldier, he found that the crowds uniquely appreciated his flair for the dramatic, and his unparalleled skill with his spinning axes. Addicted to the spectacle of his own brash perfection, Draven has sworn to defeat whomever he must to ensure that his name is chanted throughout the empire forever more.",Marksman,,9,3,1,8,605,90,360.56,39,330,29,3.3,30,0.5,550,3.75,0.7,8.042,0.65,60,3.61,2.7,0.679,League of Draven,"Draven gains his fans' Adoration when he catches a Spinning Axe or kills a minion, monster, or tower. Killing enemy champions grants Draven bonus gold based on how much Adoration he has."
36,Dr. Mundo,the Madman of Zaun,"Utterly insane, unrepentantly homicidal, and horrifyingly purple, Dr. Mundo is what keeps many of Zaun's citizens indoors on particularly dark nights. This monosyllabic monstrosity seems to want nothing more than pain—both the giving of it, and the receiving of it. Wielding his massive meat cleaver as if it were weightless, Mundo is infamous for capturing and torturing dozens of Zaun's citizens for his nefarious “operations,” which seem to have no overall point or goal. He is brutal. He is unpredictable. He goes where he pleases. He is also not, technically, a doctor.",Fighter,Tank,5,7,6,5,582.52,89,0,0,345,36,3.5,32.1,1.25,125,8,0.75,0,0,61.27,3.5,2.8,0.721,Adrenaline Rush,Dr. Mundo regenerates 0.3% of his maximum Health each second.
245,Ekko,the Boy Who Shattered Time,"A prodigy from the rough streets of Zaun, Ekko manipulates time to twist any situation to his advantage. Using his own invention, the Zero Drive, he explores the branching possibilities of reality to craft the perfect moment. Though he revels in this freedom, when there's a threat to his friends he'll do anything to defend them. To outsiders, Ekko seems to achieve the impossible the first time, every time.",Assassin,Fighter,5,3,7,8,585,85,280,50,340,32,3,32,1.25,125,9,0.9,7,0.8,58,3,3.3,0.688,Z-Drive Resonance,"Ekko's Zero-Drive charges his spells and attacks with temporal energy. The third hit deals bonus damage and, if the target is a champion, Ekko gains accelerated movement speed."
60,Elise,the Spider Queen,"Elise is a deadly predator who dwells in a shuttered, lightless palace, deep within the oldest city of Noxus. Once mortal, she was the mistress of a powerful house, but the bite of a vile demigod transformed her into something beautiful, yet utterly inhuman—a spider-like creature, drawing unsuspecting prey into her web. To maintain her eternal youth, Elise now prefers to feed upon the naive and the faithless, and there are few who can resist her seductions.",Mage,Fighter,6,5,7,9,534,93,324,50,330,27,3.35,30,0.5,550,5.5,0.6,6,0.8,55,3,1.75,0.625,Spider Queen,"Human Form: When Elise's abilities hit an enemy, she gains a dormant Spiderling.<br><br>Spider Form: Basic attacks deal bonus magic damage and restore health to Elise."
28,Evelynn,Agony's Embrace,"Within the dark seams of Runeterra, the demon Evelynn searches for her next victim. She lures in prey with the voluptuous façade of a human female, but once a person succumbs to her charms, Evelynn's true form is unleashed. She then subjects her victim to unspeakable torment, gratifying herself with their pain. To the demon, these liaisons are innocent flings. To the rest of Runeterra, they are ghoulish tales of lust gone awry and horrific reminders of the cost of wanton desire.",Assassin,Mage,4,2,7,10,572,84,315.6,42,335,37,3.5,32.1,1.25,125,8.5,0.75,8.108,0.6,61,3,2.1,0.667,Demon Shade,"When out of combat, Evelynn enters Demon Shade. Demon Shade heals Evelynn when she is low on health and grants Camouflage after level 6."
81,Ezreal,the Prodigal Explorer,"A dashing adventurer, unknowingly gifted in the magical arts, Ezreal raids long-lost catacombs, tangles with ancient curses, and overcomes seemingly impossible odds with ease. His courage and bravado knowing no bounds, he prefers to improvise his way out of any situation, relying partially on his wits, but mostly on his mystical Shuriman gauntlet, which he uses to unleash devastating arcane blasts. One thing is for sure—whenever Ezreal is around, trouble isn't too far behind. Or ahead. Probably everywhere.",Marksman,Mage,7,2,6,7,530,88,375,50,325,22,3.5,30,0.5,550,4,0.55,8.5,0.65,60,2.5,2.5,0.625,Rising Spell Force,"Ezreal gains increasing Attack Speed each time he successfully hits a spell, stacking up to 5 times."
9,Fiddlesticks,the Ancient Fear,"Something has awoken in Runeterra. Something ancient. Something terrible. The ageless horror known as Fiddlesticks stalks the edges of mortal society, drawn to areas thick with paranoia where it feeds upon terrorized victims. Wielding a jagged scythe, the haggard, makeshift creature reaps fear itself, shattering the minds of those unlucky enough to survive in its wake. Beware the sounding of the crow, or the whispering of the shape that appears <i>almost</i> human… Fiddlesticks has returned.",Mage,Support,2,3,9,9,580.4,92,500,28,335,34,3.5,30,0.5,480,5.5,0.6,8,0.8,55.36,2.625,2.11,0.625,A Harmless Scarecrow,Fiddlesticks' trinket is replaced by scarecrow effigies.
114,Fiora,the Grand Duelist,"The most feared duelist in all Valoran, Fiora is as renowned for her brusque manner and cunning mind as she is for the speed of her bluesteel rapier. Born to House Laurent in the kingdom of Demacia, Fiora took control of the family from her father in the wake of a scandal that nearly destroyed them. House Laurent's reputation was sundered, but Fiora bends her every effort to restore her family's honor and return them to their rightful place among the great and good of Demacia.",Fighter,Assassin,10,4,2,3,550,85,300,40,345,33,3.5,32.1,1.25,150,8.5,0.55,8,0.7,68,3.3,3.2,0.69,Duelist's Dance,"Fiora challenges nearby enemy Champions to dodge her. She calls out a direction from which she will try to strike. If she can complete her own challenge, she receives a small bonus and calls out a new direction."
105,Fizz,the Tidal Trickster,"Fizz is an amphibious yordle, who dwells among the reefs surrounding Bilgewater. He often retrieves and returns the tithes cast into the sea by superstitious captains, but even the saltiest of sailors know better than to cross him—for many are the tales of those who have underestimated this slippery character. Often mistaken for some manner of capricious ocean spirit, he seems able to command the beasts of the deep, and delights in confounding his allies and enemies alike.",Assassin,Fighter,6,4,7,6,570,98,317.2,37,335,22.412,3.4,32.1,1.25,175,8,0.7,6,0.8,58.04,3,3.1,0.658,Nimble Fighter,Fizz can move through units and takes a flat amount of reduced damage from all sources
3,Galio,the Colossus,"Outside the gleaming city of Demacia, the stone colossus Galio keeps vigilant watch. Built as a bulwark against enemy mages, he often stands motionless for decades until the presence of powerful magic stirs him to life. Once activated, Galio makes the most of his time, savoring the thrill of a fight and the rare honor of defending his countrymen. But his triumphs are always bittersweet, for the magic he destroys is also his source of reanimation, and each victory leaves him dormant once again.",Tank,Mage,1,10,6,5,562,112,500,40,335,24,3.5,32,1.25,150,8,0.8,9.5,0.7,59,3.5,1.5,0.625,Colossal Smash,"Every few seconds, Galio's next basic attack deals bonus magic damage in an area."
41,Gangplank,the Saltwater Scourge,"As unpredictable as he is brutal, the dethroned reaver king Gangplank is feared far and wide. Once, he ruled the port city of Bilgewater, and while his reign is over, there are those who believe this has only made him more dangerous. Gangplank would see Bilgewater bathed in blood once more before letting someone else take it—and now with pistol, cutlass, and barrels of gunpowder, he is determined to reclaim what he has lost.",Fighter,,7,6,4,9,540,82,282,40,345,35,3,32.1,1.25,125,6,0.6,7.5,0.7,64,3,3.2,0.658,Trial by Fire,"Every few seconds, Gangplank's melee strike will set his opponent on fire."
86,Garen,The Might of Demacia,"A proud and noble warrior, Garen fights as one of the Dauntless Vanguard. He is popular among his fellows, and respected well enough by his enemies—not least as a scion of the prestigious Crownguard family, entrusted with defending Demacia and its ideals. Clad in magic-resistant armor and bearing a mighty broadsword, Garen stands ready to confront mages and sorcerers on the field of battle, in a veritable whirlwind of righteous steel.",Fighter,Tank,7,7,1,5,620,84,0,0,340,36,3,32.1,0.75,175,8,0.5,0,0,66,4.5,3.65,0.625,Perseverance,"If Garen has not recently been struck by damage or enemy abilities, he regenerates a percentage of his total health each second."
150,Gnar,the Missing Link,"Gnar is a primeval yordle whose playful antics can erupt into a toddler's outrage in an instant, transforming him into a massive beast bent on destruction. Frozen in True Ice for millennia, the curious creature broke free and now hops about a changed world he sees as exotic and wondrous. Delighted by danger, Gnar flings whatever he can at his enemies, be it his bonetooth boomerang, or a nearby building.",Fighter,Tank,6,5,5,8,510,65,100,0,335,32,2.5,30,0.5,175,4.5,1.75,0,0,59,3,6,0.625,Rage Gene,"While in combat Gnar generates Rage. At maximum Rage his next ability will transform him into Mega Gnar, granting increased survivability and access to new spells."
79,Gragas,the Rabble Rouser,"Equal parts jolly and imposing, Gragas is a massive, rowdy brewmaster on his own quest for the perfect pint of ale. Hailing from parts unknown, he now searches for rare ingredients among the unblemished wastes of the Freljord, trying each recipe as he goes. Often intoxicated and extremely impulsive, he is legendary for the brawls he starts, which often end in all-night parties and widespread property damage. Any appearance from Gragas must surely foreshadow drinking and destruction—in that order.",Fighter,Mage,4,7,6,5,600,95,400,47,330,35,3.6,32.1,1.25,125,5.5,0.5,6,0.8,64,3.5,2.05,0.675,Happy Hour,"On ability use, Gragas takes a drink restoring 6% of his max Health. This effect can only happen every 8 seconds."
104,Graves,the Outlaw,"Malcolm Graves is a renowned mercenary, gambler, and thief—a wanted man in every city and empire he has visited. Even though he has an explosive temper, he possesses a strict sense of criminal honor, often enforced at the business end of his double-barreled shotgun Destiny. In recent years, he has reconciled a troubled partnership with Twisted Fate, and together they have prospered once more in the turmoil of Bilgewater's criminal underbelly.",Marksman,,8,5,3,3,555,92,325,40,340,33,3.4,32,1.25,425,8,0.7,8,0.7,68,3,2.6,0.475,New Destiny,Graves's shotgun holds two shells. After firing them he must reload. Each attack fires several bullets in a cone. Hitting an enemy with multiple bullets does bonus damage. These bullets cannot pass through units.
120,Hecarim,the Shadow of War,"Hecarim is a spectral fusion of man and beast, cursed to ride down the souls of the living for all eternity. When the Blessed Isles fell into shadow, this proud knight was obliterated by the destructive energies of the Ruination, along with all his cavalry and their mounts. Now, whenever the Black Mist reaches out across Runeterra, he leads their devastating charge, reveling in the slaughter and crushing the foe beneath his armored hooves.",Fighter,Tank,8,6,4,6,580,90,277.2,40,345,36,4,32.1,1.25,175,7,0.75,6.5,0.6,66,3.2,2.5,0.67,Warpath,Hecarim gains Attack Damage equal to a percentage of his bonus Movement Speed.
74,Heimerdinger,the Revered Inventor,"A brilliant yet eccentric yordle scientist, Professor Cecil B. Heimerdinger is one of the most innovative and esteemed inventors Piltover has ever known. Relentless in his work to the point of neurotic obsession, he thrives on answering the universe's most impenetrable questions. Though his theories often appear opaque and esoteric, Heimerdinger has crafted some of Piltover's most miraculous—not to mention lethal—machinery, and constantly tinkers with his inventions to make them even more efficient.",Mage,Support,2,6,8,8,488,87,385,20,340,19.04,3,30,0.5,550,7,0.55,8,0.8,55.536,2.7,1.36,0.625,Hextech Affinity,Gain Movement Speed while near allied towers and turrets deployed by Heimerdinger.
420,Illaoi,the Kraken Priestess,"Illaoi's powerful physique is dwarfed only by her indomitable faith. As the prophet of the Great Kraken, she uses a huge, golden idol to rip her foes' spirits from their bodies and shatter their perception of reality. All who challenge the “Truth Bearer of Nagakabouros” soon discover Illaoi never battles alone—the god of the Serpent Isles fights by her side.",Fighter,Tank,8,6,3,4,585.6,95,300,40,340,35,3.8,32.1,1.25,125,9.5,0.8,7.5,0.75,68,5,2.5,0.571,Prophet of an Elder God,"Illaoi and the <font color='#669900'>Vessels</font> she creates spawn Tentacles on nearby impassible terrain. Tentacles swing at spirits, <font color='#669900'>Vessels</font>, and victims of Illaoi's Harsh lesson. Tentacles deal physical damage to enemies hit, and will heal Illaoi if they damage a champion."
39,Irelia,the Blade Dancer,"The Noxian occupation of Ionia produced many heroes, none more unlikely than young Irelia of Navori. Trained in the ancient dances of her province, she adapted her art for war, using the graceful and carefully practised movements to levitate a host of deadly blades. After proving herself as a fighter, she was thrust into the role of resistance leader and figurehead, and to this day remains dedicated to the preservation of her homeland.",Fighter,Assassin,7,4,5,5,580,95,350,30,335,36,3,32,1.25,200,8.5,0.85,8,0.8,63,4,2.5,0.656,Ionian Fervor,When Irelia strikes enemies with spells she gains stacking bonus Attack Speed. At maximum stacks she also gains bonus damage on hit.
427,Ivern,the Green Father,"Ivern Bramblefoot, known to many as the Green Father, is a peculiar half man, half tree who roams Runeterra's forests, cultivating life everywhere he goes. He knows the secrets of the natural world, and holds deep friendships with all things that grow, fly, and scuttle. Ivern wanders the wilderness, imparting strange wisdom to any he meets, enriching the forests, and occasionally entrusting loose-lipped butterflies with his secrets.",Support,Mage,3,5,7,7,585,95,450,60,330,27,3.5,32.1,1.25,475,7,0.85,6,0.75,50,3,3.4,0.644,Friend of the Forest,"Ivern cannot attack or be attacked by non-epic monsters. Ivern can create magical groves on jungle camps which grow over time. When the grove is fully grown, Ivern may free the monsters to receive gold and experience. After level 5 Ivern can share jungle buffs with allies."
40,Janna,the Storm's Fury,"Armed with the power of Runeterra's gales, Janna is a mysterious, elemental wind spirit who protects the dispossessed of Zaun. Some believe she was brought into existence by the pleas of Runeterra's sailors who prayed for fair winds as they navigated treacherous waters and braved rough tempests. Her favor and protection has since been called into the depths of Zaun, where Janna has become a beacon of hope to those in need. No one knows where or when she will appear, but more often than not, she's come to help.",Support,Mage,3,5,7,7,500,70,350,64,315,28,3.8,30,0.5,550,5.5,0.55,11.5,0.4,46,1.5,2.95,0.625,Tailwind,"Janna passively gains bonus Movement Speed, and nearby allied champions gain this bonus when moving toward her.<br><br>Additionally, Janna's basic attacks cause additional magic damage based on her bonus Movement Speed."
