ChampionId,AllyAdvice,EnemyAdvice
119,"If Draven doesn't move, Spinning Axe will fall near his present location. It will fall directly on him, or just to the right or left.",Launch skillshots toward the landing position of Draven's Spinning Axes.
36,A well-timed Sadism can bait enemy champions into attacking you even when they lack the damage to finish you.,"Try to coordinate high-damage abilities with your allies right after Dr. Mundo uses his ultimate, but if you're unable to kill him quickly with burst he will heal through the damage."
245,"Chronobreak is a potent escape tool, but it can also be quite powerful when used offensively. Don't underestimate its damage potential.",Ekko is significantly weaker when his ultimate is down. Watch for the trail he leaves behind to determine if Chronobreak is available.
60,Spider Form is most effective at finishing off enemies with low health; Human Form's Neurotoxin does more damage to healthy foes. ,"Elise's Spider Form is more dangerous when you are at low health, and her Human Form more potent when you are at high health."
28,"Allure's arm time might seem long, but the Charm and magic resist shred put Evelynn at an exteme advantage so are worth the wait.",Purchasing Vision Wards can help you detect Evelynn's location in order to prepare for her ambushes.
81,Use Arcane Shift to help line up your other skill shots.,Ezreal is a very fragile champion so take the fight to him.
9,,
114,"Thanks to Duelist's Dance, Fiora excels at quick trades. Use the movement speed boost from striking a Vital to escape unscathed or set up for the next one.","Duelist's Dance shows you where Fiora will try to attack from, so be ready to punish her when she tries."
105,"Since Fizz can move through units, find opportunities in lane to walk through minions and apply Seastone Trident's passive - following it up with the ability's active attack after a few seconds.",Fizz's attacks becomes more deadly for a few seconds after he uses his empowered attack - keep him away while his trident is glowing!
3,You can release Shield of Durand even while crowd controlled.,Galio moves slower when he is charging Shield of Durand.
41,Parrrley applies On Hit effects like Frozen Mallet or Black Cleaver.,Parrrley deals a high amount of physical damage. Items that grant Armor can help if an enemy Gangplank is doing well.
86,Garen's regeneration greatly increases if he can avoid receiving damage for several seconds.,Stack armor items to lower the large amount of physical damage that Garen deals out.
150,Managing your Rage is very important. Try to time out your transformations so you can get maximum benefit from both forms.,Gnar can't gain Rage for 15 seconds after he turns from big to little. Use this chance to engage on his team.
79,"The damage reduction from Drunken Rage is applied when you start drinking, try to use it when you see damage coming your way.","Gragas can knock everybody away with his ultimate. Be careful that you don't get knocked into him or, worse, an enemy tower."
104,Smoke Screen can be used both to escape and to set up a kill.,Graves deals mostly physical damage so Armor is an effective counter.
120,"Spirit of Dread restores Health when nearby enemies take damage, including damage dealt by allies. Cast this during a large fight to maximize Hecarim's survivability.","Hecarim gains life from nearby enemies with Spirit of Dread but lacks durability, use burst damage."
74,"Turret placement can be a deciding factor in a battle. Against most enemies turrets are best when they can support each other, but if the enemy has a lot of area of effect damage your turrets can be destroyed quickly. Placing turrets in brush can lead to a surprise attack in your favor.",It's better to destroy all of Heimerdinger's turrets at once with the help of creeps than to fight them one at a time.
420,Tentacles are an immense source of power. Don't fight without them.,Killing Tentacles whenever possible will make it much easier to win a fight against Illaoi.
39,Use Bladesurge to cover great distances by targeting low life minions on your way to champion targets.,Pay attention to Ionian Fervor stacks and try to engage Irelia when it is down.
427,Try to help allies follow up a good Rootcaller hit with Triggerseed!,Ivern can be deceptively slippery. Be careful chasing him too far.
40,Eye of the Storm can be used on allied turrets.,Save an interrupt ability for when Janna uses her ultimate.
59,You can use the Dragon Strike / Demacian Standard combo to get out of your own Cataclysm arenas.,Keep out of the path between Jarvan IV and his Demacian Standard to avoid being knocked up in the air.
24,"Jax can Leap Strike to friendly units, including wards. You can use them to plan your escape.",Try to engage him in short bursts instead of going toe-to-toe with him. Preventing him from attacking consecutively drastically lowers his damage output.
126,Be sure to switch stances often. It will enhance your attacks and grant you quick bursts of speed.,Jayce can attack in melee or at range. Pay attention to his stance and weapon color to know how he is going to attack.
202,Deadly Flourish has incredible range. When approaching a fight be sure to look ahead for enemies that could be rooted.,"Deadly Flourish only roots those hit by one of Jhin's basic attacks, traps, or allies within the last 4 seconds."
222,Rockets aren't always the best choice! Jinx's minigun is incredibly powerful when fully ramped up. Switch to it whenever an enemy champion gets too close.,Jinx's minigun takes time to ramp up. If you see her poking with rockets try to jump on her and burst her down.
145,Try to catch enemy carries alone to burst them with Icathian Rain.,Kai'Sa is very good at picking off isolated enemies. Stick together against her.
429,"Rend is a valuable last hitting aid, since its cooldown resets if it kills a target. ",Kalista's mobility is dependent upon attacking. This means it is low when she is outside of her attack range and that Attack Speed slows reduce the amount of distance she can cover in an engagement.
43,Gathering Fire rewards aggressive play. Look to land abilities and basic attacks on your opponent to lower Mantra's cooldown and stay on the offensive.,Karma's passive lowers her Mantra cooldown when she hits enemy champions with abilities and basic attacks. Deny her from getting free hits on you.
30,Ask your allies to help point out when you should use Requiem to get kills in different lanes.,Karthus can cast spells for a short duration after he is killed. Move away from his corpse to be safe.
38,Kassadin has multiple item paths; he can go caster via Mana and Ability Power or anti-caster with Cooldown Reduction and Magic Resist.,Kassadin deals mostly magic damage. If he's doing well consider buying magic resist items like Mercury's Treads and Banshee's Veil.
55,Picking up Daggers will significantly reduce Shunpo's cooldown.,"Katarina's abilities deal magic damage, so even if she's building Attack Damage items, get magic resistance to counter her."
10,Using Divine Judgment on a high-DPS ally can turn the tides of battle by giving your ally free reign to attack. ,"Divine Judgment only grants Kayle or her allies immunity to damage. Slows and stuns can still be applied, so trap them if they're being overzealous."
141,Look at the line-up of both your team and the enemy's team when picking your form.,Umbral Trespass requires Kayn to damage a target first. Try to dodge Blade's Reach to deny him a long range cast of Umbral Trespass.
85,You can stun your opponents by inflicting 3 Marks of the Storm upon them.,"Consider playing a bit more cautiously around Kennen when you have a Mark of the Storm debuff. If he hits you with 3 Marks of the Storm, you will get stunned."
121,Enemies are considered isolated if they have no allies within a short distance. The damage of Taste Their Fear is massively increased against these targets.,"Taste Their Fear deals bonus damage to targets that are isolated. Gain an advantage by fighting near allied minions, champions, or turrets."
203,Moving around between attacks while jungling will help you avoid damage and also generate more heals from Wolf's Frenzy.,"Kindred is fragile - turn the pressure up on her, and she will be forced to play cautiously."
240,"Kled generates some courage by killing minions, but gets much more from fighting Champions.","Kled generates courage by damaging enemies with his Pocket Pistol and basic attacks, killing minions, and attacking structures or epic monsters."
96,Kog'Maw can outrange most champions with his Bio-Arcane Barrage ability.,"Kog'Maw doesn't have a good escape ability, so he is especially prone to ganks."
7,Distortion allows you to be aggressive with your other spells while being able to return to safety.,"LeBlanc's ultimate can create fake LeBlancs during her spellcast or, rarely, at a distant position. "
64,Use Sonic Wave before Dragon's Rage so you can chase the target with Resonating Strike.,"Stay spread out to minimize the impact of Lee Sin's ultimate, Dragon's Rage."
89,Lead the charge and mark your foes with Sunlight before your allies deal damage.,"When Leona activates Eclipse, you have three seconds to get away from her before she deals damage."
127,You can instantly use your ultimate on yourself by pressing the self cast key and the ultimate key at once (alt+R by default).,The best way to stop Lissandra from moving using her Glacial Path is to immobilize her before she reactivates it.
236,"For optimal burst, try to combine Relentless Pursuit into Piercing Light.","Lucian has strong burst, but little sustained damage."
117,Glitterlance can be fired at odd angles depending on where your cursor is - Moving your cursor closer to Pix and Lulu will change your area of effect size considerably.,The shots from Lulu's faerie can be intercepted - hide behind your minions to avoid the additional Faerie attacks.
99,Lux has great zone control abilities. Try to set up Lucent Singularity to prevent an enemy's advance or escape.,Lux has powerful zone control abilities. Try to spread out and attack from different directions so she cannot lock down a specific area.
54,"Armor naturally reduces the rate that attacks go through Granite Shield, so Brutal Strikes will strengthen the shield against physical damage.",If you're a physical damage character stay behind your allies when fighting Malphite. Ground Slam can significantly reduce your damage output.
90,Wait to cast Void Swarm until there are nearby enemies for the Voidling to attack or kill.,"When Malzahar hits a spell on enemies affected by Malefic Visions, the Visions are refreshed."
57,Saplings can be tossed into brush for empowered effect - but don't stack well.,"Saplings will chase the first enemy that gets too close, but detonate after a few seconds or if they collide with other enemies. Be especially careful around brush sapling, as they are much more dangerous."
11,"If you're in a lane against ranged players, leveling up Meditate can allow you to stay in the lane longer and gain levels faster than they will.","Meditate is an effective method of healing damage over time, but Master Yi is susceptible to coordinated team ganks early in the game."
21,Miss Fortune ramps up speed if she hasn't recently taken damage. Avoid getting hit to move very fast.,Miss Fortune's speed boost is removed if she is damaged by an enemy.
62,Decoy and Nimbus Strike work well together to quickly strike your enemy and get out before they can retaliate.,Wukong will often use Decoy after Nimbus Strike. Try delaying your abilities by a short amount of time to ensure that you're hitting the real Wukong.
82,Offense is your defense. Keep fighting to build up larger Indestructible shields.,"Mordekaiser builds up a powerful damage aura when fighting champions, so keep your distance."
25,Shrewd use of Black Shield can determine the outcome of team fights.,"Tormented Shadow deals tons of damage to units missing large amounts of Health. When low on Health, be wary of Morgana's attempts to trap you within its reach."
267,"Aqua Prison has a long cooldown, make sure to use it at the right moment.","Aqua Prison is a very powerful ability with a long cooldown, take advantage of the situation if Nami misses this ability."
75,Paying attention to last hitting with Siphoning Strike will have a large impact at the end of a game.,"While transformed by his ultimate, Nasus is stronger than most champions in the League. Engage him only if you have a clear advantage."
111,"While ganking, consider aiming Dredge Line at nearby terrain and following it up with Riptide for a higher hit rate.","If Nautilus uses Riptide right next to you, hold in place until the ripple effect finishes before running. Running early will run straight into the secondary explosions, causing you to take additional damage and slow."
518,You can set her passive to use hotkeys in the options menu. The default is Shift+F1~F5,Standing behind minions against Neeko is very dangerous as Tangle-Barbs become stronger.
76,Use brush to your advantage! Moving in and out of brush can heavily alter your effectiveness in battle.,Nidalee's Hunt debuff is only applied with Javelin Toss and Bushwhack. Avoiding being hit by these abilities will impair her ability to deal follow-up damage.
56,Using Paranoia at a critical moment is well worth it even if you cannot use the dash.,Stay close to your allies when Paranoia is cast - there is strength in numbers!
20,Consume allows Nunu to stay in a lane against ranged opponents.,Interrupting the charge up on Absolute Zero will lower the amount of damage your team takes.
2,"Olaf can combine Berserker Rage, Vicious Strikes, and Ragnarok at low life to become deceptively strong.",Olaf becomes more dangerous the lower life he is. Save your disables to finish him off.
61,Command: Protect can be used on yourself to return the Ball back to you quickly. Combine this with Command: Attack for a quick harassment.,Orianna can only affect the area the Ball is around. Use this to your advantage.
516,Learning build paths of items can help quickly select upgrades in lane.,Try to stay away from walls. Ornn is much less strong if he cannot stun you.
80,Mortal Will activates after 5 spells or basic attacks - plan your way through fights to allow you to activate it more than once.,Pantheon's Aegis Assault makes him invulnerable from the front. Get behind him or wait it out.
78,"Iron Ambassador tends to land near walls, try to take advantage of this with Heroic Charge.",Poppy can stop nearby enemies from dashing with Steadfast Presence.
555,Pyke is very fragile so don't be afraid to temporarily run from a fight. You can regenerate a significant amount of health from Gift of the Drowned Ones when enemies can't see you.,"Pyke regenerates a significant amount of damage he has taken from enemy champions, but only when you can't see him!"
246,,
133,Attacking a Vulnerable  target marked by Valor will put Harrier on cooldown. Quickly consuming Harrier marks will allow you to generate them faster.,"After being marked, move away from Quinn so she can't take advantage of it."
497,Rakan requires allies near him to make the most out of his tools.,Rakan's movement abilities forecast their destination. Try to use this to your advantage.
33,Powerball can be used as an effective escape mechanism.,Pay particular attention to when his Defensive Ball Curl is off. Rammus has much lower stats than a normal tank when he's out of the stance.
421,Keeping tunnels spread out across the map will ensure you have choices when you want to cast Void Rush.,"If you see one of Rek'Sai's tunnels, briefly stand on one of the entrances to destroy it."
58,"Slice and Dice excels at harassing maneuvers. Slice in, follow up with another skill and then Dice back out to safety.",Pay close attention to Renekton's Fury gauge as that will usually signify when he is about to attack.
107,Use Rengar's ultimate to find and assassinate high priority targets in team fights and skirmishes.,Rengar gains an empowered ability when his resource bar is full. Try to confront him when it's low.
92,"Riven's Broken Wings locks onto the champion your cursor is over at the time of cast. If you want to move past your opponent, make sure that your cursor is past your opponent as well.",Riven has a great deal of mobility but she cannot move very far with any one skill. Rooting or silencing her during her combo will greatly reduce her effectiveness.
68,Try and pace yourself to stay in the Danger Zone to maximize your effectiveness. It is easy to overheat if you rapidly use your abilities.,"Watch Rumble's Heat bar carefully. If you see him Overheat, go in for the kill while his skills are disabled."
13,Use Overload's passive to optimize for maximum damage or maximum speed.,Ryze is especially dangerous to opponents that are marked with Flux.
113,"Use Arctic Assault to escape bad situations, interupt channeled spells or chase runners.",Dodging Arctic Assault and Glacial Prison can give you a huge advantage.
235,,
875,,
35,Using Deceive over terrain can help you make a clean escape.,"If Shaco is doing well early-game, it is worth the investment to place Stealth Wards near his Jungle camps."
98,Keep an eye on allies and be ready to save them with your teleport.,Be ready to dodge Shen's taunt and punish him if he misses.
102,"Shyvana's abilities all benefit from attacking units. As a result, Attack Speed items are more valuable on her than most champions.","A significant portion of Shyvana's power is generated through aggression, making her weak against opponents who are able to keep their distance."
27,"Poison Trail is very effective at farming and harassing, allowing Singed to dominate the flow of whatever lane he's in.",Keep your distance to avoid being Flung back into Singed's allies.
14,"You only have very slight turning ability during Unstoppable Onslaught, so make sure to use it in straight paths.","Even if Sion still hits a Decimating Smash, making him release the charge earlier reduces its impact."
15,"Sivir's Boomerang Blade returns to her after reaching the max range, so you can shift position to hit enemies who would otherwise have evaded it.","Boomerang Blade costs a lot of mana to cast, so dodging it sets Sivir back. If it hits you on the way out, avoid its path on the way back."
72,Basic attacks reduce the cooldown of Crystal Slash. Use them as often as possible for maximum damage.,"Skarner can't harm you very much outside of short range, so stay away from him!"
37,"Make sure to tag your allies while Sona's auras are active, but avoid getting caught out by enemies.",Spread out when you see Sona so she can't make your entire team dance.
16,"Soraka is a powerful ally in battle, using her strong healing to keep the party moving forward.",Focus on attacking Soraka when she ever ventures to the frontline to heal her allies.
50,"If you're having trouble rooting an enemy with Nevermove, try throwing it at opponents when they are near their minions so the explosion surprises them.",Swain's passive is very potent if you are immobilized. Make sure to be extra careful around enemies who have immobilizing effects.
517,Wait for you or your enemy to reach low health before using Kingslayer for maximum effect.,"Sylas's healthbar can be deceptive, watch out for his Kingslayer!"
134,To maximize your ultimate's damage use it when there are many spheres on the battlefield.,"Get boots early when playing against Syndra, they'll help you avoid many of her spells."
223,Your most important function as a support is to keep fragile allies safe. Keep Devour's range and cooldown in mind and position accordingly!,"When you see Tahm Kench use the shield from Thick Skin, remember that he just opted out of a good deal of healing. He will also not accumulate new gray health until Thick Skin comes off cooldown. Use this to your advantage!"
163,Try to throw enemies into Unraveled Earth using Seismic Shove.,"When Taliyah casts Unraveled Earth in the lane, be on the lookout for Seismic Shove. If she throws you into her minefield, the throws and stones will break your bones."
91,You can use Assassin's Path to get behind the enemy and set up for Noxian Diplomacy's melee attack.,Talon's attacks are all physical damage. Build armor early to counter his burst damage.
44,"The cooldown reducing component of Bravado makes Cooldown Reduction items like Frozen Heart, Iceborn Gauntlet, and Spirit Visage exceptionally powerful on Taric.","Taric's ultimate, Cosmic Radiance, has a long delay before its effect. Try to quickly assess whether to disengage the fight or attempt to kill his allies before it goes off."
17,Teemo's mushrooms can be used to farm creep waves very effectively.,"Teemo's Toxic Shot punishes players who get hit and back out, so stay at a safe range until you're ready to commit."
412,Communication is key when making use of Thresh's lantern. Let your teammates know how you like to use it.,Thresh's Death Sentence has a long cast time. Watch for the cast to begin to take evasive actions.
18,Her massive gun allows Tristana to fire on targets at a great distance. Utilize this to prevent your enemies from ever laying a hand on you.,"If you see Tristana activate Rapid Fire in a fight, stun her and try to back off until the spell dissipates."
48,Trundle excels at fighting within his Frozen Domain. Try to draw enemies onto it.,Trundle is very powerful at location-based combat. Try to draw him off of his Frozen Domain.
23,Delaying the activation of Undying Rage is a very effective way to make an enemy champion over-commit to trying to kill you.,Try harassing Tryndamere early so he can't kill minions and heal with Bloodlust.
4,Coordinate with your allies for the best time to use Destiny to ambush enemies.,Focus on dodging Wild Cards early when your champion doesn't have the hit points to afford getting hit.
29,Twitch's Attack Speed is among the highest in the game; try purchasing items with on-hit effects such as Black Cleaver or Wit's End.,Twitch is fragile. Work with teammates to focus on him when you're able to catch him out of Camouflage.
77,"Damage is applied to turtle shield post-mitigation. Therefore, buying defensive items can drastically increase your survivability.",Udyr players will often start in the jungle and only appear to gank in lanes. Try warding key locations to keep track of his movement.
6,"Pay attention to your individual leg's cooldowns, as they make for a signficiant portion of your damage","Urgot relies heavily on blasting opponents with his legs, which have their own cooldowns and only detonate when he attacks in the direction they are facing. Avoid getting hit by multiple."
110,An early point in Blighted Quiver helps harass enemy champions and get killing blows on minions.,"If you are affected by Blight, Varus' abilities will deal extra damage to you."
67,"Tumble has many uses, but it cannot pass over walls.",Vayne is fragile - turn the pressure up on her and she will be forced to play cautiously.
45,Use Event Horizon to increase your chances of landing Dark Matter.,"Dark Matter deals very high damage, but it can be avoided. Pay attention to the sound and visual indicator to be aware of when and where the spell will land."
161,"When laning, use Void Rift to kill minions while building stacks of Organic Deconstruction on your opponent. You can then follow up with your other abilities.",Vel'Koz is very dangerous if left alone in a fight. Try to focus him down early.
254,A fully charged Vault Breaker will deal double damage. It's great for catching and finishing off fleeing enemies.,A fully charged Vault breaker deals double damage. If you see Vi start to charge you should back off or try to dodge it.
112,Death Ray is a powerful poke and a strong area of denial tool. Use it in combination with Gravity Field to control your enemy's position.,Be careful about how close you let Viktor get to you. Viktor's control of the battlefield increases with his proximity to his opponent.
8,"Transfusion instantly deals damage to the enemy before healing Vladimir, making it one of the best last hitting tools in the game.","Try to take Vladimir down before Hemoplague detonates, as it will heal him for each afflicted enemy Champion."
106,,
19,Follow your Blood Hunt trails to low health enemy champions.,Warwick's attacks heal him at low health. Save your disables to finish him off.
498,Xayah's attacks and abilities leave Feathers on the ground that she can later recall for massive area damage and control.,Xayah's Bladecaller will only root targets hit by 3 or more returning Feathers.
101,"It's easier to land Arcanopulse on an enemy when they're moving toward or away from you, rather than side to side.","Xerath's range can be intimidating, but most champions who close distance with him can trade favorably."
5,Xin Zhao is a great initiator to combat. Lead the front to start a fight and use your ultimate to do the most damage possible.,Xin Zhao is a powerful initiator with both his charge and ultimate dealing damage to all units around him. Try having your team stay spread out until he's used his ultimate.
157,Dash through a minion to have Sweeping Blade available to chase your opponent should they flee; Dash directly to your opponent to preserve a minion as your escape route.,Steel Tempest is very narrow. Dodge laterally if possible. 
83,You do not need to cast Awakening to regain the ability to cast Last Rites.,You can cast Smite on Mist Walkers and the Maiden of the Mist to damage or kill them.
350,,
154,Picking up goo chunks is very important to staying alive.,Zac heals from the goo that separates from him. You can crush the goo pieces by stepping on them.
238,Saving energy and spell cooldowns until you use your ultimate will maximize Death Mark's damage.,"Zed receives bonus effect from Attack Damage items he purchases, so Armor is super effective against him."
115,Even if you're far from a fight you can still help from afar with Mega Inferno Bomb.,Don't step on Ziggs' mines! They'll slow you and make it much easier for him to hit you with his other abiltiies.
26,You can combine the use of Time Bomb and Rewind to place two Time Bombs on a target quickly. Placing the second bomb will detonate the first and stun all nearby enemies.,"If you're able to match Zilean's speed, it can sometimes be beneficial to wait until his ultimate has faded before landing the killing blow."
142,Paddle Star deals more damage the further it has flown. Casting it behind yourself before redirecting can deal tons of damage.,Zoe's Paddle Star deals more damage the further it has flown.
143,Placing a seed in your spell's path after you have cast it gives you the best chance of having a seed in the proper spot.,"Zyra's seeds can be destroyed by stepping on them. If she tries to grow them as you do, dodge back at the last moment. "
266,Crowd Control abilities like Infernal Chains or your allies' immobilizing effects will help you set up The Darkin Blade.,Aatrox's Infernal Chains are easier to exit when running towards the sides or at Aatrox.
103,"Initiate team fights using Charm, and chase down stragglers with Spirit Rush.","Stay behind minions to make Charm difficult to land, this will reduce Ahri's damage potential significantly."
84,Twilight Shroud offers safety in even the most dangerous situations. Use that time to save up energy for a quick strike later.,Akali's Five Point Strike is powerful when used at maximum range and energy. Engage on her when she has low energy to maximize your chance of winning trades.
12,Movement speed is very important on Alistar. Consider which boots to buy carefully.,Watch out for the Pulverize-Headbutt combo when around turrets.
32,"Cooldown Reduction on Amumu is very strong, but it's often difficult to itemize for it. Grab the Golem buff whenever possible to gain Cooldown Reduction without sacrificing stats.","Erratic movement, or hiding behind creep waves can make it difficult for Amumu to instigate a fight with Bandage Toss."
34,Anivia is extremely reliant on Mana for Glacial Storm. Try getting items with Mana or going for a Crest of the Ancient Golem buff on Summoner's Rift.,"If you're playing a ranged champion, stay far enough away from Anivia so you can dodge Flash Frost more easily."
1,Striking killing blows on minions with Disintegrate enables Annie to farm extremely well early in the game.,Summoner Smite can be used to help take down Tibbers.
523,,
22,"Volley arrows are blocked by the first enemy they hit, so keep your distance to avoid having them all absorbed by enemy frontliners.",Be wary of moving around the map alone if Ashe has not recently cast her Enchanted Crystal Arrow.
136,"Save Voice of Light to use as a defense against melee opponents if you need to - otherwise, use its slow to start a fight at long range.","His stars disappear while stunned or silenced, giving you an easy opportunity to fight him."
268,"In the lane, try to position your soldiers between the enemy's minions and the enemy champion. This way you can use them both to last hit and to project threat onto your lane opponent.",Azir has immense damage over a prolonged amount of time but lacks the upfront burst of other mages. Try to burst him out before he can turn a confrontation around.
432,Let your Caretaker's Shrines charge up - they heal for a lot more when at full power.,You can crush Bard's healing shrines just by walking over them. Don't let his allies take them without a fight.
53,Using Blitzcrank's grab to pull an enemy into your tower range followed by a Power Fist will allow the tower to get several hits on them.,Staying behind creeps can prevent you from being Rocket Grabbed. Blitzcrank's Rocket Grab only pulls the first enemy target it encounters.
63,You can use Brand's abilities in a variety of combinations to maximize his damage in different situations.,"Try to move away from allies when you see Pyroclasm being cast. The initial missile speed is slow, which should give your team time to react."
201,Leap in front of squishy friends and shield them from projectiles with Unbreakable.,"Braum's ultimate has a long cast time, use that extra time to dodge. Walking over the frozen ground left behind will slow you, position so that you don't need to cross it."
51,Avoid using Ace in the Hole in large team melees as it might be blocked by the wrong target.,You can intercept Ace in the Hole's missile from hitting an ally if you stand in its path.
164,Use the CC from your abilities to land both of your Precision Protocol attacks on enemies.,"The Hextech Ultimatum has a very short range to cast, so try to flash away from her before she gets close."
69,Lead your enemy when targeting with Noxious Blast to ensure the hit.,Turn away from Cassiopeia when she is casting Petrifying Gaze to get slowed instead of stunned.
31,"If you're having difficulty feasting upon champions, try eating minions until you're larger.",Focus on preventing Cho'Gath from reaching his max size.
42,"Valkyrie can be used defensively as well, so try using it for a quick escape.","Corki is vulnerable after he uses his Valkyrie or Special Delivery, so try switching focus to him if he uses them to enter a fight."
122,Noxian Guillotine does more damage the more attacks you can land prior to it. Use Noxian Might to deal maximum damage.,"Darius's ability to escape from fights is limited. If you have an advantage against him, press your lead."
131,Consider when to cast Lunar Rush without Moonlight and when to wait for another Crescent Strike.,Pale Cascade orbs only last a few seconds. Avoid Diana and engage her after the shield dissipates.
119,"If Draven does move after attacking, Spinning Axe will lead him in the direction of his movement. Use this to control where the Spinning Axe will go.","Disrupt Draven with the goal of making him drop his axes. If you do, his power drops dramatically."
36,Spirit Visage will increase the healing done by your ultimate and lower cooldowns on all of your abilities.,Try casting Ignite when Dr. Mundo uses Sadism to negate a large portion of its healing.
245,"If you can proc Z-Drive Resonance on an enemy champion, it's worth taking risks to do so. The bonus movement speed makes it easy to escape.",Ekko's stun zone takes 3 seconds to arm. Watch for the image he creates on cast and try to guess where the zone was placed.
60,"When in Spider Form, Spiderlings will attack the target that Elise uses Venomous Bite on. ",Rappel will only move Elise straight up and down unless she can descend upon an enemy unit.
28,"While stealthed, pay attention to when you are (near) being detected by enemy champions. This is identified by the glowing yellow and red eyes over nearby enemy champions.","A large share of Evelynn's threat is in her charm, 'Allure.' Protect allies marked with 'Allure' or, if you are marked, make sure allies are between you and where Evelynn may attack from."
81,You can play Ezreal either as a Attack Damage carry or Ability Power carry depending on how you build him.,"Ezreal is completely skill shot based, so make sure to keep minions in between you."
9,,
114,"Grand Challenge allows Fiora to take down even the most durable opponents and then recover if successful, so do not hesitate to attack the enemy's front line.","Be careful when casting immobilizing disables on Fiora. If her Riposte is available, she can turn their power against you."
105,"Fizz's ultimate ability, Chum the Waters, can be aimed at an enemy or towards the area where you think they'll be going.",Fizz is a slippery target when his abilities are not on cooldown - bait him into using them early and follow up with crowd control or hard-hitting attacks!
3,You can use the minimap ally icons to cast Hero's Entrance.,Hero's Entrance can be interrupted before Galio jumps into the air.
41,Paying attention to low-health enemies on the map can land you a surprise kill with Cannon Barrage.,"Once Gangplank reaches level 6, watch out for his global-range ultimate, Cannon Barrage!"
86,"Judgment deals maximum damage when only hitting a single target. For effective trading, try to position such that only the enemy champion is hit.","Try to run away from Garen as your health gets lower, as he can execute you quickly with Demacian Justice."
150,Position yourself next to walls to bait your enemies into getting stunned by your ultimate.,Gnar's animations and resource bar change as he gets closer to transforming.  
